provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,break_even_penalty
FedEx,30966,1063,102,31.832385676522556,18.53,0.10912511759172154,10.42156862745098,33.3936642638757,2.0
FedEx,30974,802,94,53.82702268136371,23.36,0.12344139650872818,8.53191489361702,14.899579431460417,3.0
FedEx,30982,618,105,66.6831619829418,25.47,0.10355987055016182,5.885714285714286,9.26770689365466,5.0
FedEx,30989,876,128,43.13135688268341,16.61,0.12442922374429223,6.84375,20.310049655583654,2.0
FedEx,31275,2133,246,129.47251256919432,24.61,0.10267229254571027,8.670731707317072,16.474539326330408,2.0
FedEx,31303,1243,195,112.90680951768702,23.03,0.1255028157683025,6.374358974358974,11.009079127377895,3.0
FedEx,31311,675,113,139.34872865781722,33.34,0.09037037037037036,5.9734513274336285,4.8439623848849065,5.0
FedEx,31319,751,119,101.18549289373648,25.21,0.10252996005326231,6.310924369747899,7.422012568429046,5.0
FedEx,31515,2478,249,125.18180774883541,19.63,0.11259079903147699,9.951807228915662,19.795208621462436,2.0
FedEx,31535,2005,237,357.6158854957556,17.87,0.114214463840399,8.459915611814345,5.606574208023532,5.0
FedEx,31832,1068,182,159.38246951696127,29.81,0.10393258426966293,5.868131868131868,6.700862417534225,5.0
GLS,30159,3332,208,6.211813374113814,11.0,0.8229291716686674,16.01923076923077,536.3973125601746,1.0
GLS,30161,1649,80,1.7979843382791898,12.21,0.8065494238932687,20.6125,917.1381334601728,1.5
GLS,30163,2801,162,6.17992293720077,13.11,0.8625490896108533,17.290123456790123,453.2418977490888,1.0
GLS,30165,1358,86,4.951012974183712,14.79,0.8733431516936672,15.790697674418604,274.2873038469259,1.5
GLS,30167,2147,133,5.368928981069905,13.23,0.8574755472752679,16.142857142857142,399.8935369735794,1.5
GLS,30173,1424,83,4.775461708125837,9.02,0.8890449438202247,17.156626506024097,298.19106235883913,1.5
GLS,30179,1034,89,8.305970462175056,15.58,0.9003868471953579,11.617977528089888,124.48876440251992,1.0
GLS,30419,2617,248,23.77191867081394,17.6,0.8914787925105082,10.55241935483871,110.08787453126497,1.5
GLS,30449,1981,150,5.186686836161483,10.84,0.851085310449268,13.206666666666667,381.93938878061914,1.5
GLS,30453,1373,125,9.157258958740023,13.29,0.8900218499635834,10.984,149.9356964989571,3.0
