provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,schedule_size,schedule_weekdays,schedule_idx,ml_cost_eur,avg_wait_d,max_wait_d,service_penalty_eur
Amazon,30853,2911,128,8.711379660258004,12.37,0.9927859841978701,22.7421875,334.16061674825283,5,"Mon,Wed,Thu,Fri,Sat",36,4099.68597425346,0.16666666666666666,1.0,242.58333333333331
Amazon,30855,13592,271,59.06346106841505,9.96,0.9856533254855797,50.154981549815496,230.125355916003,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,16112.699139824752,0.0,0.0,0.0
Amazon,30880,6971,345,33.960996603727956,23.78,0.9926839764739636,20.205797101449274,205.26488316408188,5,"Mon,Tue,Wed,Thu,Fri",32,9987.031089628637,0.16666666666666666,1.0,580.9166666666666
Amazon,30890,6502,490,102.53407734275534,12.55,0.9996924023377423,13.269387755102041,63.41306391498345,4,"Mon,Tue,Wed,Fri",18,8891.78536197674,0.3333333333333333,1.0,1083.6666666666665
Amazon,30900,6667,570,173.55971997363926,17.55,0.9991000449977501,11.696491228070176,38.41329083160887,3,"Tue,Thu,Sat",13,9288.477924648809,0.5,1.0,1666.75
Amazon,30916,6164,344,59.876286869182046,19.41,0.9985399091499026,17.91860465116279,102.94559536510893,3,"Mon,Wed,Fri",6,8149.246692610111,0.5,1.0,1541.0
Amazon,30926,6338,415,53.8021301528445,4.34,0.997633322814768,15.272289156626506,117.80202720588586,4,"Mon,Tue,Thu,Sat",21,7740.5249225429025,0.3333333333333333,1.0,1056.3333333333333
Amazon,30938,5072,346,153.22446344831192,24.95,0.998422712933754,14.658959537572255,33.101763816656906,4,"Mon,Tue,Wed,Fri",18,8118.726307668807,0.3333333333333333,1.0,845.3333333333333
Amazon,30952,4476,275,37.755537878390655,14.14,0.9991063449508489,16.276363636363637,118.5521449705484,5,"Mon,Tue,Wed,Thu,Fri",32,6744.636370330303,0.16666666666666666,1.0,373.0
Amazon,30966,4221,233,31.832385676522556,17.79,0.9990523572613125,18.11587982832618,132.60080607508874,4,"Mon,Wed,Thu,Fri",23,6163.162361379314,0.3333333333333333,1.0,703.5
Amazon,30974,2971,240,53.82702268136371,18.26,0.9976438909458095,12.379166666666666,55.19532480158217,3,"Mon,Wed,Fri",6,4425.881245686124,0.5,1.0,742.75
Amazon,30982,3044,233,66.6831619829418,24.57,0.9996714848883048,13.064377682403434,45.648705152564375,3,"Tue,Thu,Sat",13,4632.495943722829,0.5,1.0,761.0
Amazon,30989,3112,265,43.13135688268341,11.39,0.9983933161953727,11.743396226415094,72.15168325134285,3,"Mon,Wed,Fri",6,4266.31392235893,0.5,1.0,778.0
Amazon,31275,8588,550,129.47251256919432,30.8,0.9982533768048439,15.614545454545455,66.33068154455019,4,"Tue,Thu,Fri,Sat",30,12806.793004482635,0.3333333333333333,1.0,1431.3333333333333
Amazon,31303,5793,449,112.90680951768702,30.88,0.9996547557396859,12.902004454342984,51.307799987852086,3,"Tue,Thu,Sat",13,8880.763314762322,0.5,1.0,1448.25
Amazon,31311,3965,367,139.34872865781722,40.99,0.9984867591424968,10.803814713896458,28.45379386084245,3,"Tue,Thu,Sat",13,7104.586963612305,0.5,1.0,991.25
Amazon,31319,5228,396,101.18549289373648,29.57,0.999043611323642,13.202020202020202,51.66748562949008,3,"Mon,Wed,Fri",6,7711.406132276707,0.5,1.0,1307.0
Amazon,31515,8733,525,125.18180774883541,12.09,0.9986259017519753,16.634285714285713,69.7625330473089,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,12346.473492728743,0.0,0.0,0.0
Amazon,31535,8625,834,357.6158854957556,16.13,0.998840579710145,10.341726618705035,24.11805613177205,3,"Tue,Thu,Sat",13,12127.10977120015,0.5,1.0,2156.25
Amazon,31832,5466,491,159.38246951696127,25.63,0.9996341017197219,11.132382892057027,34.29486327176224,3,"Mon,Wed,Fri",6,8463.76037164791,0.5,1.0,1366.5
DPD,30159,4783,219,6.211813374113814,13.32,0.6836713359816015,21.840182648401825,769.9844975916311,4,"Mon,Wed,Thu,Fri",23,5956.365500634176,0.3333333333333333,1.0,797.1666666666666
DPD,30161,2359,84,1.7979843382791898,14.05,0.6964815599830436,28.083333333333332,1312.0247767328972,4,"Mon,Tue,Thu,Sat",21,2905.7713794376136,0.3333333333333333,1.0,393.16666666666663
DPD,30163,2106,92,2.603733329707664,14.01,0.7749287749287749,22.891304347826086,808.8385918677981,5,"Mon,Tue,Wed,Thu,Sat",33,2980.284197481346,0.16666666666666666,1.0,175.5
DPD,30165,1757,91,4.951012974183712,15.88,0.7638019351166762,19.307692307692307,354.8768725029814,4,"Tue,Wed,Fri,Sat",29,2468.7260455399423,0.3333333333333333,1.0,292.8333333333333
DPD,30167,2824,138,5.368928981069905,16.37,0.7347733711048159,20.463768115942027,525.9894496569111,4,"Mon,Tue,Thu,Fri",20,3947.8251312985813,0.3333333333333333,1.0,470.66666666666663
DPD,30173,1708,86,4.775461708125837,13.13,0.8038641686182669,19.86046511627907,357.66175176186607,3,"Wed,Fri,Sat",16,2135.5815021489607,0.6666666666666666,2.0,569.3333333333333
DPD,30177,1250,75,3.576189607493106,12.44,0.84,16.666666666666668,349.5340396328272,4,"Mon,Tue,Fri,Sat",22,1658.1558653765658,0.5,2.0,312.5
DPD,30179,1256,89,8.305970462175056,14.42,0.8073248407643312,14.112359550561798,151.21652619880564,3,"Mon,Tue,Fri",4,1710.3278975595167,0.6666666666666666,2.0,418.66666666666663
DPD,30419,2858,257,23.77191867081394,19.64,0.8222533240027992,11.120622568093385,120.22588666807614,3,"Tue,Thu,Sat",13,4199.453825595275,0.5,1.0,714.5
