window,penalty,share_willing,total_cost_eur,avg_wait_days,cost_savings_pct
3,0.5,0.6000000000000001,1776581.2357842894,0.1425951406426892,10.14281784290487
3,0.5,0.7000000000000001,1743158.680448683,0.16636099741647073,11.833287483389032
3,0.5,0.8,1709736.1251130772,0.19012685419025227,13.523757123873164
3,0.5,0.9,1676313.569777471,0.21389271096403384,15.214226764357317
3,0.5,1.0,1642891.014441865,0.23765856773781532,16.904696404841456
3,0.75,0.0,1977116.5677979258,0.0,0.0
3,0.75,0.1,1949789.140408701,0.01591799735577494,1.3821859486849335
3,0.75,0.2,1922461.7130194758,0.03183599471154988,2.7643718973698905
3,0.75,0.30000000000000004,1895134.2856302508,0.04775399206732483,4.1465578460548365
3,0.75,0.4,1867806.8582410256,0.06367198942309976,5.528743794739793
3,0.75,0.5,1840479.4308518006,0.0795899867788747,6.910929743424738
3,0.75,0.6000000000000001,1813152.0034625758,0.09550798413464966,8.293115692109673
3,0.75,0.7000000000000001,1785824.5760733504,0.11142598149042458,9.67530164079464
3,0.75,0.8,1758497.1486841256,0.12734397884619952,11.057487589479575
3,0.75,0.9,1731169.7212949004,0.14326197620197445,12.43967353816453
3,0.75,1.0,1703842.2939056754,0.1591799735577494,13.821859486849476
3,1.0,0.0,1977116.5677979258,0.0,0.0
3,1.0,0.1,1955383.2040064062,0.010678011500531747,1.0992454438700974
3,1.0,0.2,1933649.8402148862,0.021356023001063495,2.1984908877402183
3,1.0,0.30000000000000004,1911916.4764233662,0.03203403450159525,3.297736331610339
3,1.0,0.4,1890183.1126318465,0.04271204600212699,4.396981775480448
3,1.0,0.5,1868449.7488403264,0.05339005750265874,5.496227219350569
3,1.0,0.6000000000000001,1846716.3850488064,0.0640680690031905,6.595472663220691
3,1.0,0.7000000000000001,1824983.0212572867,0.07474608050372224,7.694718107090799
3,1.0,0.8,1803249.6574657669,0.08542409200425398,8.793963550960909
3,1.0,0.9,1781516.293674247,0.09610210350478574,9.893208994831017
3,1.0,1.0,1759782.929882727,0.10678011500531748,10.992454438701138
3,2.0,0.0,1977116.5677979258,0.0,0.0
3,2.0,0.1,1971138.329779356,0.0018927452703469425,0.30237155036479285
3,2.0,0.2,1965160.091760786,0.003785490540693885,0.6047431007295975
3,2.0,0.30000000000000004,1959181.8537422158,0.0056782358110408285,0.9071146510944139
3,2.0,0.4,1953203.6157236458,0.00757098108138777,1.2094862014592185
3,2.0,0.5,1947225.3777050758,0.009463726351734711,1.5118577518240233
3,2.0,0.6000000000000001,1941247.1396865055,0.011356471622081657,1.8142293021888396
3,2.0,0.7000000000000001,1935268.9016679358,0.013249216892428597,2.1166008525536326
3,2.0,0.8,1929290.6636493658,0.01514196216277554,2.418972402918437
3,2.0,0.9,1923312.4256307958,0.017034707433122485,2.7213439532832417
3,2.0,1.0,1917334.1876122258,0.018927452703469422,3.0237155036480465
3,5.0,0.0,1977116.5677979258,0.0,0.0
3,5.0,0.1,1977116.5677979258,0.0,0.0
3,5.0,0.2,1977116.5677979258,0.0,0.0
3,5.0,0.30000000000000004,1977116.5677979258,0.0,0.0
3,5.0,0.4,1977116.5677979258,0.0,0.0
3,5.0,0.5,1977116.5677979258,0.0,0.0
3,5.0,0.6000000000000001,1977116.5677979258,0.0,0.0
3,5.0,0.7000000000000001,1977116.5677979258,0.0,0.0
3,5.0,0.8,1977116.5677979258,0.0,0.0
3,5.0,0.9,1977116.5677979258,0.0,0.0
3,5.0,1.0,1977116.5677979258,0.0,0.0
