provider,plz,weekly_parcels,dd_cost_balanced,schedule_size_balanced,avg_wait_d_balanced,daily_cost,saving_pct,area_km2,hub_dist_km,n_stops,raumtyp_3,raumtyp_8_name,hubdist_bin
DPD,30916,2914,4060.881409361444,3,0.5,5505.336403799816,26.23736114366055,59.876286869182046,10.68,308,suburban,Umland Verstädtert,10-20km
DPD,30926,2637,4430.118550443277,3,0.5,6146.851473398595,27.928654700454896,53.8021301528445,25.6,384,rural,Umland dörflich ohne gewerblichen Einfluss,20km+
DPD,30938,2412,3999.012033195312,3,0.5,5614.10632319326,28.768502002279412,153.22446344831192,17.56,317,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
DPD,30952,1895,2915.885798206441,2,1.0,4651.5791758270425,37.314067158966466,37.755537878390655,21.73,266,suburban,Städtisch mit Verdichtungsansätzen,20km+
DPD,30966,1807,2879.578369537908,3,0.5,4054.573407822628,28.979498460128045,31.832385676522556,17.93,217,rural,Umland dörflich ohne gewerblichen Einfluss,10-20km
DPD,30974,1280,2249.960921455008,2,1.0,4049.574617554036,44.43957368505051,53.82702268136371,28.84,224,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
DPD,30982,1278,2056.220671598636,2,1.0,3635.1428609264494,43.4349418918136,66.6831619829418,20.59,218,rural,Umland dörflich ohne gewerblichen Einfluss,20km+
DPD,30989,1356,2842.5025461763958,3,0.5,4189.963023652114,32.15924507852163,43.13135688268341,25.63,242,rural,Umland dörflich ohne gewerblichen Einfluss,20km+
DPD,31275,3643,4862.275652456148,3,0.5,6310.744546848563,22.952424767625015,129.47251256919432,4.47,516,suburban,Umland Verstädtert,0-5km
DPD,31303,2491,3358.920189002502,2,1.0,5298.7418231419815,36.60909889339029,112.90680951768702,10.77,417,rural,Umland dörflich ohne gewerblichen Einfluss,10-20km
DPD,31311,1650,2710.379584662348,2,1.0,4503.622414154428,39.81778809555837,139.34872865781722,17.19,336,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
DPD,31319,2115,3174.468355224155,3,0.6666666666666666,4393.641206526262,27.74857558899353,101.18549289373648,7.08,368,rural,Umland dörflich ohne gewerblichen Einfluss,5-10km
DPD,31515,3812,6560.198334030867,3,0.5,8672.940895409381,24.360163257849443,125.18180774883541,38.45,488,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
DPD,31535,3582,8698.493252654713,4,0.3333333333333333,10736.90548199021,18.98509987588765,357.6158854957556,38.17,720,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
DPD,31832,2309,4166.92946389068,2,1.0,6479.205569246742,35.68764844151845,159.38246951696127,30.86,456,rural,Umland dörflich mit geringem gewerblichem Einfluss,20km+
FedEx,30159,9864,12214.299279183924,6,0.0,12214.299279183924,0.0,10.98727508223965,11.75,273,urban,Metropoles Zentrum,10-20km
FedEx,30161,3810,4518.248311152031,3,0.6666666666666666,5224.187237195072,13.512894810065568,1.7979843382791898,9.67,80,urban,Zentrumsnah hochverdichtete Wohnnutzung,5-10km
FedEx,30163,6210,8257.65060106912,6,0.0,8257.65060106912,0.0,19.436906373559538,7.51,263,urban,Zentrumsnah hochverdichtete Wohnnutzung,5-10km
FedEx,30167,3775,4826.604760787232,5,0.1666666666666666,5175.669834329568,6.7443458473148965,5.368928981069905,8.96,132,urban,Zentrumsnah verdichtete Mischnutzung,5-10km
FedEx,30419,1709,2240.154064768116,3,0.5,3306.0595520416546,32.240964522713746,23.77191867081394,5.53,136,suburban,Städtisch mit gewerblicher Prägung,5-10km
FedEx,30449,3703,5138.057905641352,4,0.3333333333333333,5430.5021475969215,5.385215473765733,12.46107802650201,12.7,204,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
FedEx,30453,1516,1938.9199687400487,2,1.0,3326.3835685835006,41.710872220135634,9.157258958740023,10.07,106,suburban,Städtisch mit Verdichtungsansätzen,10-20km
FedEx,30455,612,1218.4555409035895,3,0.6666666666666666,1959.2973539377524,37.81160687760005,6.967819653017212,11.34,85,suburban,Städtisch mit Verdichtungsansätzen,10-20km
FedEx,30457,778,1519.0524019750735,3,0.5,1996.1328134447208,23.90023390509527,6.068989648841514,14.63,82,suburban,Städtisch mit Verdichtungsansätzen,10-20km
FedEx,30519,2372,3658.6790067069182,4,0.3333333333333333,4147.606607808722,11.788186473164968,13.714884737746763,15.57,154,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
FedEx,30539,2429,3527.198776548616,3,0.6666666666666666,4110.789837016759,14.196567657461674,19.21423828970633,18.41,81,rural,Umland dörflich mit geringem gewerblichem Einfluss,10-20km
FedEx,30559,3144,4595.108010019001,4,0.3333333333333333,5375.733073538704,14.521276500171128,34.15472344529856,15.2,165,suburban,Städtisch mit Verdichtungsansätzen,10-20km
FedEx,30625,2229,3260.962864268448,5,0.1666666666666666,3602.946557564224,9.491778127482815,12.254281076148747,12.66,134,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
FedEx,30655,2242,3302.5614469076445,5,0.1666666666666666,3651.3066283117855,9.551243346697138,15.85072399205562,11.41,144,suburban,Städtisch mit Verdichtungsansätzen,10-20km
FedEx,30657,3429,4216.658846408106,3,0.6666666666666666,4510.957538899967,6.524084741520943,12.670949194485747,8.22,82,rural,Umland dörflich ohne gewerblichen Einfluss,5-10km
FedEx,30823,878,1356.1910698305032,2,1.0,2013.2163655803624,32.635602758993784,12.528872220645557,8.07,113,suburban,Städtisch mit Verdichtungsansätzen,5-10km
FedEx,30827,2757,3536.7952885860964,3,0.6666666666666666,4491.66174623818,21.25864572174865,67.00018830712914,7.42,137,suburban,Umland Verstädtert,5-10km
