provider,plz,penalty,share_willing,total_eur,baseline_eur,saving_pct,area_km2,hub_dist_km,n_stops,weekly_parcels,raumtyp_3
Amazon,30449,0.0,0.0,7005.60345798299,7005.60345798299,0.0,5.186686836161483,12.61,159,5275,urban
Amazon,30453,0.0,0.0,4970.930164967193,4970.930164967193,0.0,9.157258958740025,9.82,139,3593,suburban
Amazon,30455,0.0,0.0,4820.378887430032,4820.378887430032,0.0,6.967819653017212,9.84,158,3165,suburban
Amazon,30457,0.0,0.0,4934.7989617734975,4934.7989617734975,0.0,6.068989648841514,13.37,135,3134,suburban
Amazon,30459,0.0,0.0,4858.408897775894,4858.408897775894,0.0,7.274391190340525,13.92,124,3087,urban
Amazon,30519,0.0,0.0,8140.269152347262,8140.269152347262,0.0,13.714884737746765,17.38,242,5508,urban
Amazon,30539,0.0,0.0,5821.859629336905,5821.859629336905,0.0,19.21423828970633,21.37,157,3516,rural
Amazon,30559,0.0,0.0,8252.52270516162,8252.52270516162,0.0,19.484913733542943,20.15,222,5369,suburban
Amazon,30625,0.0,0.0,4932.584335545381,4932.584335545381,0.0,8.86389555258122,16.66,114,3180,urban
Amazon,30627,0.0,0.0,3472.360903435115,3472.360903435115,0.0,3.390385523567528,17.89,79,2090,suburban
Amazon,30629,0.0,0.0,4629.145185289602,4629.145185289602,0.0,14.669809711755615,20.32,122,2757,suburban
Amazon,30655,0.0,0.0,5061.237427944449,5061.237427944449,0.0,4.462508901721823,16.14,137,3642,suburban
Amazon,30657,0.0,0.0,5227.080664344542,5227.080664344542,0.0,12.670949194485749,15.05,138,3559,rural
Amazon,30659,0.0,0.0,4975.003626465991,4975.003626465991,0.0,11.3882150903338,18.11,130,3002,suburban
Amazon,30823,0.0,0.0,5705.037154540299,5705.037154540299,0.0,12.528872220645557,1.29,222,4370,suburban
Amazon,30826,0.0,0.0,5673.254342811335,5673.254342811335,0.0,56.38950461206911,3.98,233,3852,rural
Amazon,30827,0.0,0.0,4536.061456785562,4536.061456785562,0.0,10.610683695060027,3.78,150,3498,suburban
Amazon,30851,0.0,0.0,4490.007090916008,4490.007090916008,0.0,4.12190647126244,11.33,96,3032,suburban
Amazon,30853,0.0,0.0,4319.068900643669,4319.068900643669,0.0,8.711379660258004,12.37,128,2911,suburban
Amazon,30855,0.0,0.0,16244.345238115564,16244.345238115564,0.0,59.06346106841505,9.96,271,13592,suburban
Amazon,30880,0.0,0.0,11278.054808972109,11278.054808972109,0.0,33.96099660372796,23.78,345,6971,suburban
Amazon,30890,0.0,0.0,10080.548522471709,10080.548522471709,0.0,102.53407734275534,12.55,490,6502,rural
Amazon,30900,0.0,0.0,12085.38072969665,12085.38072969665,0.0,173.55971997363926,17.55,570,6667,rural
Amazon,30916,0.0,0.0,9904.82527723206,9904.82527723206,0.0,59.876286869182046,19.41,344,6164,suburban
Amazon,30926,0.0,0.0,8752.96361616949,8752.96361616949,0.0,53.8021301528445,4.34,415,6338,rural
Amazon,30938,0.0,0.0,9384.90809448861,9384.90809448861,0.0,153.22446344831192,24.95,346,5072,rural
Amazon,30952,0.0,0.0,7076.623355325187,7076.623355325187,0.0,37.755537878390655,14.14,275,4476,suburban
Amazon,30966,0.0,0.0,6955.194722247112,6955.194722247112,0.0,31.83238567652256,17.79,233,4221,rural
Amazon,30974,0.0,0.0,5436.138154721389,5436.138154721389,0.0,53.82702268136371,18.26,240,2971,rural
Amazon,30982,0.0,0.0,6084.06789519755,6084.06789519755,0.0,66.6831619829418,24.57,233,3044,rural
Amazon,30989,0.0,0.0,5499.955907320829,5499.955907320829,0.0,43.13135688268341,11.39,265,3112,rural
Amazon,31275,0.0,0.0,14129.512676709497,14129.512676709497,0.0,129.47251256919432,30.8,550,8588,suburban
Amazon,31303,0.0,0.0,10291.231205914351,10291.231205914351,0.0,112.90680951768702,30.88,449,5793,rural
Amazon,31311,0.0,0.0,8790.113460938559,8790.113460938559,0.0,139.34872865781722,40.99,367,3965,rural
Amazon,31319,0.0,0.0,9320.815628099372,9320.815628099372,0.0,101.18549289373648,29.57,396,5228,rural
Amazon,31515,0.0,0.0,12450.58174407703,12450.58174407703,0.0,125.1818077488354,12.09,525,8733,rural
Amazon,31535,0.0,0.0,15851.91067139521,15851.91067139521,0.0,357.6158854957556,16.13,834,8625,rural
Amazon,31832,0.0,0.0,11355.500473785536,11355.500473785536,0.0,159.3824695169613,25.63,491,5466,rural
DPD,30159,0.0,0.0,6656.069904499083,6656.069904499083,0.0,6.211813374113814,13.32,219,4783,urban
DPD,30161,0.0,0.0,3438.6384541878197,3438.6384541878197,0.0,1.7979843382791898,14.05,84,2359,urban
DPD,30163,0.0,0.0,3176.704105051865,3176.704105051865,0.0,2.603733329707664,14.01,92,2106,urban
DPD,30165,0.0,0.0,3109.5847921201566,3109.5847921201566,0.0,4.951012974183712,15.88,91,1757,urban
DPD,30167,0.0,0.0,4548.61275587726,4548.61275587726,0.0,5.368928981069905,16.37,138,2824,urban
DPD,30173,0.0,0.0,3042.0725720869623,3042.0725720869623,0.0,4.775461708125837,13.13,86,1708,urban
DPD,30177,0.0,0.0,2301.8161532682093,2301.8161532682093,0.0,3.576189607493106,12.44,75,1250,urban
DPD,30179,0.0,0.0,2402.9493976963904,2402.9493976963904,0.0,8.305970462175056,14.42,89,1256,suburban
DPD,30419,0.0,0.0,5350.888005691542,5350.888005691542,0.0,23.77191867081394,19.64,257,2858,suburban
DPD,30449,0.0,0.0,4115.648431001423,4115.648431001423,0.0,5.186686836161483,15.53,161,2554,urban
DPD,30453,0.0,0.0,3546.158276962033,3546.158276962033,0.0,9.157258958740025,18.23,137,1619,suburban
DPD,30455,0.0,0.0,3189.32194545774,3189.32194545774,0.0,6.967819653017212,19.47,151,1318,suburban
DPD,30457,0.0,0.0,3071.8681502213976,3071.8681502213976,0.0,6.068989648841514,18.69,130,1335,suburban
DPD,30459,0.0,0.0,2692.648089162524,2692.648089162524,0.0,7.274391190340525,16.25,119,1284,urban
DPD,30519,0.0,0.0,4359.743796141659,4359.743796141659,0.0,12.113461405690837,12.99,227,2540,urban
DPD,30539,0.0,0.0,3283.465182476126,3283.465182476126,0.0,19.21423828970633,9.52,156,1695,rural
DPD,30559,0.0,0.0,3964.267070732265,3964.267070732265,0.0,19.484913733542943,7.42,213,2467,suburban
DPD,30625,0.0,0.0,2879.61806243138,2879.61806243138,0.0,8.86389555258122,10.22,108,1405,urban
DPD,30627,0.0,0.0,1734.323815852828,1734.323815852828,0.0,3.390385523567528,8.59,77,971,suburban
DPD,30629,0.0,0.0,2209.7242260325893,2209.7242260325893,0.0,14.669809711755615,6.08,121,1173,suburban
DPD,30655,0.0,0.0,2902.8311877698657,2902.8311877698657,0.0,4.462508901721823,10.23,132,1537,suburban
DPD,30657,0.0,0.0,3254.827165454566,3254.827165454566,0.0,12.670949194485749,12.26,136,1866,rural
DPD,30659,0.0,0.0,2732.1680399331904,2732.1680399331904,0.0,11.3882150903338,8.73,122,1368,suburban
DPD,30823,0.0,0.0,4031.85332034608,4031.85332034608,0.0,12.528872220645557,25.25,211,1867,suburban
DPD,30826,0.0,0.0,4659.6772590054525,4659.6772590054525,0.0,56.38950461206911,27.87,212,1639,rural
DPD,30827,0.0,0.0,3693.9834286058103,3693.9834286058103,0.0,10.610683695060027,23.76,145,1601,suburban
DPD,30851,0.0,0.0,2392.8715311930196,2392.8715311930196,0.0,4.12190647126244,15.63,96,1281,suburban
DPD,30853,0.0,0.0,3054.623065805542,3054.623065805542,0.0,8.711379660258004,15.68,120,1470,suburban
DPD,30855,0.0,0.0,9651.557570967712,9651.557570967712,0.0,59.06346106841505,19.88,265,6668,suburban
DPD,30880,0.0,0.0,5651.747006229777,5651.747006229777,0.0,33.96099660372796,12.89,328,3235,suburban
DPD,30890,0.0,0.0,6923.102121964851,6923.102121964851,0.0,102.53407734275534,32.64,451,2726,rural
