penalty,share_willing,provider,day,n_plz,n_routes,distance_km,vroom_cost_eur,parcels,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel
0.25,1.0,DPD,5,21,79,5217.521,23317.39,16452,208.25316455696202,66.04456962025316,0.31713597131047894,1.4172982008266473
0.25,1.0,FedEx,0,20,70,3965.258,20278.84,14787,211.24285714285713,56.646542857142855,0.2681583823628863,1.3713964969229728
0.25,1.0,FedEx,1,15,72,3151.796,19707.68,15275,212.15277777777777,43.77494444444444,0.20633689034369884,1.2901918166939443
0.25,1.0,FedEx,2,16,74,3843.921,20814.34,15861,214.33783783783784,51.94487837837838,0.24235048231511253,1.3122968286993253
0.25,1.0,FedEx,3,16,75,4103.731,21446.09,15908,212.10666666666665,54.71641333333333,0.2579664948453608,1.3481323862207695
0.25,1.0,FedEx,4,13,75,3275.082,20226.87,16149,215.32,43.66776,0.20280401263236114,1.2525153260263793
0.25,1.0,FedEx,5,17,72,3768.736,20359.94,15185,210.90277777777777,52.343555555555554,0.2481880803424432,1.3407928877181428
0.25,1.0,GLS,0,23,70,4497.057,21100.44,14094,201.34285714285716,64.24367142857143,0.3190759897828863,1.497122179650915
0.25,1.0,GLS,1,23,69,3951.967,20224.25,13736,199.07246376811594,57.274884057971015,0.28770872160745486,1.4723536691904484
0.25,1.0,GLS,2,16,70,4696.614,20871.85,14502,207.17142857142858,67.09448571428571,0.3238597434836574,1.4392394152530685
0.25,1.0,GLS,3,16,72,4931.336,21549.76,14960,207.77777777777777,68.49077777777778,0.3296347593582888,1.4404919786096255
0.25,1.0,GLS,4,19,69,3686.525,19759.87,14425,209.05797101449275,53.42789855072464,0.25556499133448873,1.3698350086655111
0.25,1.0,GLS,5,17,69,4714.638,20803.16,14122,204.66666666666666,68.32808695652174,0.33385058773544823,1.473102959920691
