provider,plz,weekly_parcels,schedule_size,weekly_cost,cost_per_parcel
Amazon,30559,5369,3,6912.828977138397,1.287544976185211
Amazon,30559,5369,4,7129.402441976167,1.3278827420331845
Amazon,30559,5369,5,7572.316054363028,1.4103773615874517
Amazon,30559,5369,6,8043.925348778871,1.4982166788561875
Amazon,30625,3180,2,4009.473454167979,1.260840708857855
Amazon,30625,3180,3,4113.527641976694,1.2935621515649982
Amazon,30625,3180,4,4220.383531081716,1.3271646324156339
Amazon,30625,3180,5,4574.335065156484,1.438470146275624
Amazon,30625,3180,6,4930.643569462649,1.5505168457429714
Amazon,30627,2090,2,2704.0312631367497,1.2937948627448563
Amazon,30627,2090,3,2755.2133220549736,1.3182838861507051
Amazon,30627,2090,4,2816.4849262533376,1.3476004431834152
Amazon,30627,2090,5,3137.3209636936836,1.5011105089443462
Amazon,30627,2090,6,3475.653380078446,1.6629920478844238
Amazon,30629,2757,2,3706.608969322112,1.3444356072985535
Amazon,30629,2757,3,3856.3932833918643,1.3987643392788771
Amazon,30629,2757,4,4014.7856293053746,1.4562153171220076
Amazon,30629,2757,5,4417.8090740303,1.6023971976896263
Amazon,30629,2757,6,4836.393814762198,1.7542233640776925
Amazon,30655,3642,2,4429.533361208496,1.2162365077453312
Amazon,30655,3642,3,4569.079890354602,1.2545524136064257
Amazon,30655,3642,4,4687.5631051392165,1.2870848723611248
Amazon,30655,3642,5,5065.490315883334,1.3908540131475382
Amazon,30655,3642,6,5183.973530667949,1.4233864719022373
Amazon,30657,3559,2,4212.260926113906,1.1835518196442556
Amazon,30657,3559,3,4378.10997639906,1.2301517213821465
Amazon,30657,3559,4,4713.076522554724,1.3242698855169215
Amazon,30657,3559,5,4879.634392160669,1.3710689497501178
Amazon,30657,3559,6,5250.034768988788,1.4751432337703814
Amazon,30659,3002,2,3789.9337751798184,1.2624696119852827
Amazon,30659,3002,3,3929.1784715915546,1.308853588138426
Amazon,30659,3002,4,4300.948853553788,1.4326944881924675
Amazon,30659,3002,5,4682.024766074673,1.559635165248059
Amazon,30659,3002,6,5053.7951480369065,1.6834760653021008
Amazon,30823,4370,2,4492.624477717678,1.0280605212168599
Amazon,30823,4370,3,4617.39491059534,1.0566121076877208
Amazon,30823,4370,4,4887.945129154154,1.1185229128499208
Amazon,30823,4370,5,5256.661650534808,1.2028974028683772
Amazon,30823,4370,6,5712.703390621835,1.3072547804626624
Amazon,30826,3852,2,4163.138959029786,1.0807733538498925
Amazon,30826,3852,3,4542.177219661864,1.179173733037867
Amazon,30826,3852,4,4777.624492525385,1.240297116439612
Amazon,30826,3852,5,5217.097175503544,1.3543865980019585
Amazon,30826,3852,6,5679.935753249681,1.474541992017051
Amazon,30827,3498,2,3702.124316631157,1.0583545787967858
Amazon,30827,3498,3,3837.309504501346,1.0970010018585894
Amazon,30827,3498,4,3994.433164389065,1.1419191436218026
Amazon,30827,3498,5,4335.16183582896,1.2393258535817495
Amazon,30827,3498,6,4493.7578468679185,1.2846649076237617
Amazon,30851,3032,2,3522.7248708919183,1.1618485721939045
Amazon,30851,3032,3,3589.673091162479,1.1839291197765431
Amazon,30851,3032,4,3897.108207085623,1.2853259258197964
Amazon,30851,3032,5,4204.9301362109145,1.3868503087766868
Amazon,30851,3032,6,4523.227180611186,1.4918295450564596
Amazon,30853,2911,2,3377.5368717989895,1.1602668745444829
Amazon,30853,2911,3,3480.039243568061,1.195478956911048
Amazon,30853,2911,4,3813.9640272189117,1.3101903219577162
Amazon,30853,2911,5,3958.68150583851,1.3599043304151528
Amazon,30853,2911,6,4308.40685042376,1.4800435762362625
Amazon,30855,13592,2,14110.695083013585,1.0381617924524416
Amazon,30855,13592,3,14303.64125889535,1.0523573616020712
Amazon,30855,13592,4,14760.185602050075,1.085946556948946
Amazon,30855,13592,5,15305.470780516716,1.1260646542463741
Amazon,30855,13592,6,16057.433044200578,1.1813885406268818
Amazon,30880,6971,2,8940.914500158058,1.2825870750477777
Amazon,30880,6971,3,9296.539382958565,1.3336019771852767
Amazon,30880,6971,4,9852.262929182822,1.4133213210705524
Amazon,30880,6971,5,10217.12610586955,1.4656614697847583
Amazon,30880,6971,6,10772.849652093808,1.5453808136700342
Amazon,30890,6502,2,7974.238336353481,1.2264285352742972
Amazon,30890,6502,3,8291.220855121668,1.2751800761491339
Amazon,30890,6502,4,8656.274852300545,1.3313249542141719
Amazon,30890,6502,5,9253.081927275918,1.4231131847548322
Amazon,30890,6502,6,9853.7437512148,1.5154942711803754
Amazon,30900,6667,2,8744.297066495516,1.311578981025276
Amazon,30900,6667,3,9183.706468137087,1.3774870958657697
Amazon,30900,6667,4,9957.854394888138,1.4936034790592678
Amazon,30900,6667,5,10745.423006034976,1.6117328642620334
Amazon,30900,6667,6,11556.995988832972,1.7334627251886865
Amazon,30916,6164,2,7589.624687700453,1.2312823957982566
Amazon,30916,6164,3,8107.300018158658,1.3152660639452722
Amazon,30916,6164,4,8672.242237215189,1.4069179489317307
Amazon,30916,6164,5,9272.574646938006,1.504311266537639
