penalty_eur_per_day,provider,plz,schedule_size,base_cost_eur,wait_days_avg,weekly_parcels,penalty_cost_eur,combined_cost_eur
0.0,Hermes,30855,2,8114.640918506408,0.9317093776401014,7102,0.0,8114.640918506408
0.0,Hermes,30880,2,6124.816259079186,0.9351145038167938,3668,0.0,6124.816259079186
0.0,Hermes,30890,2,6306.91347044461,0.9693200663349917,3618,0.0,6306.91347044461
0.0,Hermes,30900,2,6258.358891825454,0.9270032930845225,3644,0.0,6258.358891825454
0.0,Hermes,30916,3,5374.534785061489,0.6599628712871287,3232,0.0,5374.534785061489
0.0,Hermes,30926,2,5512.018230308807,0.9785128640090472,3537,0.0,5512.018230308807
0.0,Hermes,30938,2,5174.174849996787,0.9126506024096386,2656,0.0,5174.174849996787
0.0,Hermes,30952,3,4480.051090139417,0.45860128617363344,2488,0.0,4480.051090139417
0.0,Hermes,30966,5,4225.261001498014,0.11413748378728923,2313,0.0,4225.261001498014
0.0,Hermes,30974,2,3668.0712082719056,0.9300742574257426,1616,0.0,3668.0712082719056
0.0,Hermes,30982,3,3834.6729468853955,0.49107142857142855,1680,0.0,3834.6729468853955
0.0,Hermes,30989,3,3587.094887678275,0.4824509220701963,1681,0.0,3587.094887678275
0.0,Hermes,31275,2,7659.228610296808,0.9312473392933163,4698,0.0,7659.228610296808
0.0,Hermes,31303,2,5881.547325974481,0.9376779500158178,3161,0.0,5881.547325974481
0.0,Hermes,31311,2,5156.849880339789,0.8816029143897997,2196,0.0,5156.849880339789
0.0,Hermes,31319,2,5479.449655809794,0.9735122119023047,2907,0.0,5479.449655809794
0.0,Hermes,31515,2,7389.113551464888,0.9270701975620008,4758,0.0,7389.113551464888
0.0,Hermes,31535,2,8654.027533481281,0.9763598326359832,4780,0.0,8654.027533481281
0.0,Hermes,31832,2,6350.449521833253,0.912106135986733,3015,0.0,6350.449521833253
0.0,UPS,30159,2,12694.099836799554,0.9297755188479457,11805,0.0,12694.099836799554
0.0,UPS,30161,2,5773.6119413898505,0.9614896318239526,4726,0.0,5773.6119413898505
0.0,UPS,30163,4,6162.402904482618,0.5474162407722885,5283,0.0,6162.402904482618
0.0,UPS,30165,4,3642.1619515893717,0.3398741206960385,2701,0.0,3642.1619515893717
0.0,UPS,30167,4,5681.797625387025,0.4025488903537684,4551,0.0,5681.797625387025
0.0,UPS,30419,4,3223.4038208695533,0.4062347783731125,2053,0.0,3223.4038208695533
0.0,UPS,30449,2,6149.7004899226695,0.9562433297758804,4685,0.0,6149.7004899226695
0.0,UPS,30453,4,3195.209192706123,0.3393739703459638,1821,0.0,3195.209192706123
0.0,UPS,30455,5,1944.7505189134954,0.1416256157635468,812,0.0,1944.7505189134954
0.0,UPS,30457,6,2082.9256820867663,0.0,1021,0.0,2082.9256820867663
0.0,UPS,30519,4,4796.906189390594,0.2757832898172324,3064,0.0,4796.906189390594
0.0,UPS,30539,4,4347.631508695031,0.3361717882265827,2701,0.0,4347.631508695031
0.0,UPS,30559,3,4790.249560759164,0.4564301911240687,3087,0.0,4790.249560759164
0.0,UPS,30625,4,4070.7988148266895,0.3270993766043271,2727,0.0,4070.7988148266895
0.0,UPS,30655,5,2057.6339647175387,0.19129720853858784,1218,0.0,2057.6339647175387
0.0,UPS,30657,4,4666.061851476268,0.546328437917223,3745,0.0,4666.061851476268
0.0,UPS,30659,5,3520.7694460107637,0.10733752620545073,2385,0.0,3520.7694460107637
