penalty,share_willing,provider,n_plz,init_cost_eur,balanced_cost_eur,cost_delta_eur,cost_delta_pct,imbalance_before,imbalance_after,imbalance_reduction_pct,max_fleet_before,max_fleet_after,total_routes_before,total_routes_after,swaps_made
0.25,0.9,DHL,48,556799.9250894407,557029.6970388988,229.77194945816882,0.0412665194632093,246.0,236.0,4.065040650406504,122.0,119.0,2372.0,2372.0,3
0.25,0.9,Amazon,47,309962.2272436993,314243.82364675764,4281.596403058327,1.3813284415755729,51.0,2.0,96.07843137254902,213.0,189.0,1114.0,1129.0,23
0.25,0.9,DPD,47,152768.69836209033,154859.01194223078,2090.3135801404424,1.3682865682248657,27.0,6.0,77.77777777777777,120.0,108.0,623.0,630.0,12
0.25,0.9,FedEx,37,130086.64523503825,131343.2306163428,1256.5853813045542,0.965960325161878,30.0,2.0,93.33333333333333,103.0,94.0,553.0,558.0,9
0.25,0.9,GLS,46,135022.6887549004,136285.55156188481,1262.8628069844272,0.9352967405921206,18.0,7.0,61.111111111111114,100.0,95.0,549.0,551.0,6
0.25,0.9,Hermes,47,180069.76686800653,183181.2394287149,3111.472560708382,1.7279261337574405,36.0,2.0,94.44444444444444,138.0,118.0,696.0,704.0,16
0.25,0.9,UPS,40,155671.13061998104,157783.0470567381,2111.9164367570775,1.356652597270983,29.0,7.0,75.86206896551724,127.0,116.0,662.0,669.0,12
0.25,1.0,DHL,48,538213.2719367273,539293.5306997377,1080.2587630103808,0.20071202613104208,392.0,314.0,19.897959183673468,120.0,109.0,2336.0,2340.0,7
0.25,1.0,Amazon,47,292606.964021396,295608.334690562,3001.3706691659754,1.0257345306882406,68.0,3.0,95.58823529411765,201.0,176.0,1037.0,1050.0,17
0.25,1.0,DPD,47,143241.08753918216,145639.1086576861,2398.021118503937,1.674115408993933,67.0,9.0,86.56716417910448,111.0,87.0,481.0,491.0,19
0.25,1.0,FedEx,37,124166.3840829327,124655.28501506044,488.9009321277408,0.3937466132549983,29.0,5.0,82.75862068965517,92.0,75.0,436.0,438.0,5
0.25,1.0,GLS,46,126371.31557885215,128370.32819273866,1999.0126138865016,1.5818562976335986,31.0,3.0,90.3225806451613,87.0,72.0,411.0,419.0,13
0.25,1.0,Hermes,47,167660.2278601178,169945.5996982292,2285.3718381114013,1.3630971801005374,61.0,3.0,95.08196721311475,127.0,99.0,571.0,581.0,17
0.25,1.0,UPS,40,150198.48010163818,151905.00886303367,1706.528761395486,1.1361824435511536,43.0,4.0,90.69767441860465,105.0,94.0,541.0,549.0,14
0.5,0.0,DHL,48,563775.2206035123,563775.2206035123,0.0,0.0,176.0,176.0,0.0,122.0,122.0,2388.0,2388.0,0
0.5,0.0,Amazon,47,350810.6383067652,350810.6383067652,0.0,0.0,79.0,79.0,0.0,217.0,217.0,1129.0,1129.0,0
0.5,0.0,DPD,47,210178.8252010488,210178.8252010488,0.0,0.0,46.0,46.0,0.0,118.0,118.0,588.0,588.0,0
0.5,0.0,FedEx,37,167748.72604045804,167748.72604045804,0.0,0.0,31.0,31.0,0.0,97.0,97.0,506.0,506.0,0
0.5,0.0,GLS,46,186914.04044994735,186914.04044994735,0.0,0.0,30.0,30.0,0.0,95.0,95.0,492.0,492.0,0
0.5,0.0,Hermes,47,232267.79568581068,232267.79568581068,0.0,0.0,44.0,44.0,0.0,127.0,127.0,681.0,681.0,0
0.5,0.0,UPS,40,198052.50289517397,198052.50289517397,0.0,0.0,40.0,40.0,0.0,118.0,118.0,613.0,613.0,0
0.5,0.1,DHL,48,554337.1070071852,556257.2488866809,1920.141879495699,0.3463852329609265,171.0,165.0,3.508771929824561,121.0,117.0,2365.0,2369.0,4
0.5,0.1,Amazon,47,329526.25747560756,330976.7893571788,1450.5318815712235,0.4401870408395592,78.0,76.0,2.5641025641025643,216.0,216.0,1123.0,1125.0,2
0.5,0.1,DPD,47,179967.9932973059,185916.8753810381,5948.882083732198,3.305522262452905,42.0,24.0,42.857142857142854,113.0,111.0,566.0,586.0,18
