penalty,share_willing,provider,plz,weekly_parcels,schedule_idx_init,schedule_idx_balanced,schedule_size_init,schedule_size_balanced,weekdays_init,weekdays_balanced,avg_wait_d_init,avg_wait_d_balanced,dd_cost_init,dd_cost_balanced,veh_init,veh_balanced
0.0,0.0,DPD,30419,2858,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,5350.888005691542,5350.888005691542,16.0,16.0
0.0,0.0,DPD,30449,2554,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4115.648431001423,4115.648431001423,14.0,14.0
0.0,0.0,DPD,30453,1619,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3546.158276962033,3546.158276962033,11.0,11.0
0.0,0.0,DPD,30455,1318,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3189.32194545774,3189.32194545774,9.0,9.0
0.0,0.0,DPD,30457,1335,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3071.8681502213976,3071.8681502213976,9.0,9.0
0.0,0.0,DPD,30459,1284,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2692.648089162524,2692.648089162524,8.0,8.0
0.0,0.0,DPD,30519,2540,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4359.743796141659,4359.743796141659,14.0,14.0
0.0,0.0,DPD,30539,1695,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3283.465182476126,3283.465182476126,11.0,11.0
0.0,0.0,DPD,30559,2467,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3964.267070732265,3964.267070732265,13.0,13.0
0.0,0.0,DPD,30625,1405,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2879.61806243138,2879.61806243138,10.0,10.0
0.0,0.0,DPD,30627,971,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,1734.323815852828,1734.323815852828,6.0,6.0
0.0,0.0,DPD,30629,1173,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2209.7242260325893,2209.7242260325893,7.0,7.0
0.0,0.0,DPD,30655,1537,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2902.8311877698657,2902.8311877698657,10.0,10.0
0.0,0.0,DPD,30657,1866,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3254.827165454566,3254.827165454566,11.0,11.0
0.0,0.0,DPD,30659,1368,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2732.1680399331904,2732.1680399331904,9.0,9.0
0.0,0.0,DPD,30823,1867,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4031.85332034608,4031.85332034608,11.0,11.0
0.0,0.0,DPD,30826,1639,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,4659.6772590054525,4659.6772590054525,11.0,11.0
0.0,0.0,DPD,30827,1601,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,3693.9834286058103,3693.9834286058103,11.0,11.0
0.0,0.0,DPD,30851,1281,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,2392.8715311930196,2392.8715311930196,8.0,8.0
