provider,plz,base_day,agg_k,scale,p_keep,noise_sigma,b2c_scale,b2b_scale,seed,is_baseline,actual_cost_eur,actual_distance_km,actual_duration_h,actual_n_routes,n_vehicles_planned,solve_time_s,vroom_status,n_parcels,n_stops,area_km2,hub_dist_km,parcels_per_stop,load_factor,min_vehicles,parcels_per_km2,ch_area_km2,ch_perimeter_km,mean_nn_dist_km,mean_inter_stop_dist_km,stop_density_ch,centroid_hub_dist_km,max_hub_dist_km,coord_std_x,coord_std_y,aspect_ratio,b2c_share,demand_std,max_stop_demand,demand_cap_ratio,provider_idx,day_idx,delivery_frequency,n_merged_members,n_components_post_union,hull_overhead_pct,bbox_overhead_pct,max_member_centroid_km,mean_member_centroid_km,isoperimetric_q
DHL,30539,2,1,0.7,0.9,0.0,1.0,1.0,42,False,1191.11,103.485,5.694444444444445,5,5,46.6269,OK,1051.0,146.0,19.21423828970633,3.99,7.198630136986301,4.569565217391304,5,54.69901976614153,9.022547004990956,11.834561492575798,0.1069203644224363,1.4732060736261752,16.181683500151113,3.819219060252871,6.266277875338993,0.731368116569905,0.9568310725644238,1.456995377788019,0.8315889628924833,14.477483633907193,166.0,0.9139130434782607,1.0,2.0,1.0,1,1,19.223443687674884,59.97475862282031,0.0,0.0,0.4417525163807731
Hermes,30627,4,2,0.7,0.9,0.2,1.0,1.0,42,False,303.52,46.534,2.6727777777777777,1,1,6.4754,OK,177.0,68.0,3.3903855235675278,11.3,2.6029411764705883,0.7695652173913043,1,52.20645226615764,2.25625351037942,6.361548277073643,0.0905013891088794,0.9782936558789048,30.13845726430133,10.911188660235858,12.358435055859143,0.6062039461663593,0.5008084568559272,1.1243450138899382,0.9717514124293786,2.183761635090408,14.0,0.7695652173913043,5.0,4.0,2.0,1,1,27.7666291911419,165.26608140479462,0.0,0.0,0.3697481373076522
Hermes,30455,3,3,1.3,0.9,0.0,1.0,1.0,456,False,1083.64,157.076,7.382777777777778,4,4,18.3936,OK,907.0,130.0,6.967819653017212,9.92,6.976923076923077,3.943478260869565,4,130.16984439418576,4.404517008444385,8.137449435429186,0.0948760726563826,1.146018957337229,29.51515449952008,9.733117440296631,10.96900919447765,0.5022993046710688,0.7534937451435582,1.395018632721068,0.9724366041896362,6.685766033568726,43.0,0.9858695652173912,5.0,3.0,3.0,1,1,28.29343074287173,113.65209712351832,0.0,0.0,0.4291086419294296
GLS,30629,0,2,1.3,0.9,0.2,1.0,1.0,123,False,552.72,92.518,3.8427777777777776,2,2,16.7299,OK,458.0,88.0,14.669809711755615,12.94,5.204545454545454,1.991304347826087,2,31.220582202438717,4.494852151783329,8.603029252133442,0.1132812245200005,1.1291107777459368,19.577952072369293,12.22990673526316,13.260971504615652,0.7030064626188416,0.5471490941761277,1.2270710980382264,0.9388646288209608,5.807829924313562,37.0,0.9956521739130436,4.0,0.0,2.0,1,1,29.967254677541305,101.94086989475528,0.0,0.0,0.3557328027701494
Hermes,31832,2,3,0.7,1.0,0.0,1.0,1.0,456,False,2214.31,628.625,23.17361111111111,6,6,173.9383,OK,1158.0,424.0,159.3824695169613,28.44,2.731132075471698,5.034782608695652,6,7.265541834742165,123.05342564935536,42.61754227888204,0.1064768856652603,6.159122132797833,3.445657833274804,27.1405314795413,33.52927632113419,4.17992615943407,2.82101824096162,1.1050949071092266,0.9887737478411054,2.2325576840800214,16.0,0.8391304347826087,5.0,2.0,3.0,1,1,44.391491067867285,89.66486308143537,0.0,0.0,0.2694789161245019
Amazon,30457,3,1,1.3,1.0,0.2,1.0,1.0,42,False,1116.47,184.425,7.998611111111111,4,4,20.0488,OK,735.0,118.0,6.068989648841514,13.37,6.228813559322034,3.1956521739130435,4,121.10747299433956,3.458878758975277,7.7659149501997184,0.0850618031039399,1.0313435715044623,34.11510151774112,13.356184500843876,14.625968852410224,0.5456733355768366,0.6236248634796578,1.2335340567350828,0.9891156462585036,6.900517073415159,44.0,0.7989130434782609,0.0,3.0,1.0,1,1,40.86016654473907,106.64622955958146,0.0,0.0,0.3766597440863178
FedEx,31535,0,2,0.7,1.0,0.0,1.0,1.0,456,False,1223.26,356.009,14.360277777777778,3,3,36.9139,OK,484.0,187.0,357.6158854957556,17.87,2.588235294117647,2.1043478260869564,3,1.3534074397423388,289.47802456456094,70.42997899852207,0.3492638787881986,7.184998657063442,0.6459903140533358,16.25771132292662,27.64407860450088,4.115096428653762,4.628171647170164,1.0600066354604816,0.1219008264462809,3.016260848490065,21.0,0.7014492753623188,3.0,0.0,2.0,1,1,40.7323723795672,112.15663099150308,0.0,0.0,0.2257814661901648
DHL,30880,0,3,0.7,1.0,0.0,1.0,1.0,456,False,6224.43,542.737,25.15861111111111,27,27,96.5675,OK,6084.0,356.0,33.96099660372796,5.11,17.089887640449437,26.45217391304348,27,179.14668615267166,21.14871354327664,21.587958700702085,0.0948132663740345,3.3990297225087773,16.833175184462956,4.876778439794987,8.508399841477093,2.2622352554040552,1.5608627538046551,1.4045534261158144,0.8640696909927679,40.20408343323445,670.0,0.9797101449275364,1.0,0.0,3.0,1,1,40.83444541538516,114.82498233139523,0.0,0.0,0.2670841687158399
Hermes,30982,5,1,1.0,0.9,0.0,1.0,1.0,456,False,422.93,111.36,5.2875,1,1,11.8722,OK,175.0,104.0,66.6831619829418,23.78,1.6826923076923077,0.7608695652173914,1,2.6243506575882933,33.245403820465306,24.03153573520694,0.1385390440820647,4.176841819177789,3.128251970155928,23.04383674729289,29.07998403906904,1.225418561605415,3.3926664220714406,2.0946298541384967,0.9828571428571428,1.103006582351193,6.0,0.7608695652173914,5.0,5.0,1.0,1,1,34.80836995790101,102.47435719568998,0.0,0.0,0.2049400270782702
DPD,31311,1,1,0.7,0.9,0.2,1.0,1.0,123,False,724.8,163.363,7.855,2,1,102.231,OK,206.0,158.0,139.34872865781722,17.19,1.3037974683544304,0.8956521739130435,1,1.4783055574611714,81.86668514655224,38.01864628883298,0.1761954796527638,6.127181638677474,1.9299669910557515,16.4617542716856,22.815946196009207,4.026810685569507,2.978418249743525,1.3500597651936976,0.8786407766990292,0.7689287366322756,7.0,0.8956521739130435,2.0,1.0,1.0,1,1,33.23261426531148,77.17210882751733,0.0,0.0,0.2938711802698911
