penalty,share_willing,init_cost_eur,bal_cost_eur,max_fleet_before,max_fleet_after,total_swaps,total_routes_before,total_routes_after,imbalance_before,imbalance_after,wait_init,wait_bal,saving_init_pct,saving_bal_pct,fleet_red_pct,delta_pct
1.0,0.1,1754030.2992033835,1773936.7053397417,891.0,861.0,74,6307.0,6365.0,448.0,353.0,0.3116389445266916,0.3226886121512961,8.153822935305074,7.11146505610992,3.367003367003367,1.134895226462104
1.0,0.2,1762046.7776723646,1787996.2104438897,880.0,849.0,94,6294.0,6359.0,433.0,315.0,0.22281963587807005,0.2359817807087684,7.7340565827901,6.375268084014265,3.522727272727273,1.4726869400030285
1.0,0.3,1762955.8745657247,1794468.4888224395,876.0,840.0,109,6295.0,6359.0,430.0,288.0,0.16915453410707262,0.1870659921517711,7.686453599948561,6.036360582679623,4.109589041095891,1.7874874074472975
1.0,0.4,1758760.2319084909,1787792.175015992,882.0,826.0,106,6281.0,6346.0,441.0,269.0,0.15584658744547272,0.17086364823889857,7.906149769719118,6.385951978156046,6.349206349206349,1.6507050012154063
1.0,0.5,1768106.537018243,1791926.2583236692,884.0,827.0,118,6314.0,6383.0,453.0,261.0,0.1276098527731376,0.14549399771467175,7.416749789342029,6.16947923669339,6.447963800904978,1.3471881250773545
1.0,0.6,1777721.0292897094,1797340.0805808208,888.0,829.0,97,6335.0,6396.0,426.0,259.0,0.10484787789063675,0.12123917042056899,6.913306741663037,5.88599560596423,6.6441441441441444,1.1036068633867828
1.0,0.7,1785245.1270641633,1802469.6054636398,917.0,834.0,101,6373.0,6414.0,454.0,268.0,0.08813384212234686,0.10212144962645701,6.519322888158098,5.617398620576277,9.051254089422029,0.9648242775378509
1.0,0.8,1795385.1806572499,1805170.1451740144,941.0,858.0,61,6426.0,6448.0,462.0,319.0,0.07093687902274509,0.07909887871134931,5.9883599064016835,5.475990431377978,8.820403825717323,0.5450064210278517
1.0,0.9,1784866.8538296,1798808.56092065,980.0,858.0,95,6469.0,6501.0,529.0,296.0,0.07658462179928695,0.08812500164934198,6.53913038549513,5.809101663271664,12.448979591836734,0.781106280344483
1.0,1.0,1758243.8262340704,1766013.6276212083,860.0,800.0,68,6158.0,6194.0,432.0,279.0,0.0809423152539063,0.0912619181451368,7.9331902872241935,7.526340671066086,6.976744186046512,0.4419069341355158
