penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.1,DHL,"Deutsche Post, Springe",5,7.0,7.0
0.0,0.1,DHL,"Deutsche Post, Wunstorf",0,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Wunstorf",1,15.0,15.0
0.0,0.1,DHL,"Deutsche Post, Wunstorf",2,16.0,16.0
0.0,0.1,DHL,"Deutsche Post, Wunstorf",3,16.0,16.0
0.0,0.1,DHL,"Deutsche Post, Wunstorf",4,14.0,14.0
0.0,0.1,DHL,"Deutsche Post, Wunstorf",5,11.0,11.0
0.0,0.1,DHL,Dummy Seelze,0,17.0,17.0
0.0,0.1,DHL,Dummy Seelze,1,19.0,19.0
0.0,0.1,DHL,Dummy Seelze,2,19.0,19.0
0.0,0.1,DHL,Dummy Seelze,3,19.0,19.0
0.0,0.1,DHL,Dummy Seelze,4,18.0,18.0
0.0,0.1,DHL,Dummy Seelze,5,13.0,13.0
0.0,0.1,DHL,Dummy Sehnde,0,9.0,9.0
0.0,0.1,DHL,Dummy Sehnde,1,9.0,9.0
0.0,0.1,DHL,Dummy Sehnde,2,10.0,10.0
0.0,0.1,DHL,Dummy Sehnde,3,9.0,9.0
0.0,0.1,DHL,Dummy Sehnde,4,8.0,8.0
0.0,0.1,DHL,Dummy Sehnde,5,6.0,6.0
0.0,0.1,DHL,Dummy Uetze,0,7.0,7.0
0.0,0.1,DHL,Dummy Uetze,1,7.0,7.0
0.0,0.1,DHL,Dummy Uetze,2,7.0,7.0
0.0,0.1,DHL,Dummy Uetze,3,8.0,8.0
0.0,0.1,DHL,Dummy Uetze,4,6.0,6.0
0.0,0.1,DHL,Dummy Uetze,5,5.0,5.0
0.0,0.1,DHL,Dummy Wennigsen,0,10.0,10.0
0.0,0.1,DHL,Dummy Wennigsen,1,12.0,12.0
0.0,0.1,DHL,Dummy Wennigsen,2,12.0,12.0
0.0,0.1,DHL,Dummy Wennigsen,3,12.0,12.0
0.0,0.1,DHL,Dummy Wennigsen,4,10.0,10.0
0.0,0.1,DHL,Dummy Wennigsen,5,8.0,8.0
0.0,0.1,DHL,Paketzentrum / Zustellbasis Anderten,0,40.0,40.0
0.0,0.1,DHL,Paketzentrum / Zustellbasis Anderten,1,43.0,43.0
0.0,0.1,DHL,Paketzentrum / Zustellbasis Anderten,2,46.0,46.0
0.0,0.1,DHL,Paketzentrum / Zustellbasis Anderten,3,47.0,47.0
0.0,0.1,DHL,Paketzentrum / Zustellbasis Anderten,4,38.0,38.0
0.0,0.1,DHL,Paketzentrum / Zustellbasis Anderten,5,29.0,29.0
0.0,0.1,DHL,Zustellbasis Hannover am Güterbahnhof,0,99.0,100.0
0.0,0.1,DHL,Zustellbasis Hannover am Güterbahnhof,1,107.0,106.0
0.0,0.1,DHL,Zustellbasis Hannover am Güterbahnhof,2,121.0,116.0
0.0,0.1,DHL,Zustellbasis Hannover am Güterbahnhof,3,111.0,115.0
0.0,0.1,DHL,Zustellbasis Hannover am Güterbahnhof,4,97.0,95.0
0.0,0.1,DHL,Zustellbasis Hannover am Güterbahnhof,5,73.0,78.0
0.0,0.1,DHL,Zustellbasis Hannover-Süd,0,54.0,54.0
0.0,0.1,DHL,Zustellbasis Hannover-Süd,1,59.0,59.0
0.0,0.1,DHL,Zustellbasis Hannover-Süd,2,64.0,64.0
0.0,0.1,DHL,Zustellbasis Hannover-Süd,3,61.0,61.0
0.0,0.1,DHL,Zustellbasis Hannover-Süd,4,53.0,53.0
0.0,0.1,DHL,Zustellbasis Hannover-Süd,5,41.0,41.0
0.0,0.1,Amazon,Amazon Logistics HAJ8 in Garbsen,0,188.0,188.0
0.0,0.1,Amazon,Amazon Logistics HAJ8 in Garbsen,1,198.0,198.0
0.0,0.1,Amazon,Amazon Logistics HAJ8 in Garbsen,2,216.0,216.0
