penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
0.25,0.6,DHL,4,561444.4680466346,559837.8294008292,146.0,122.0
0.25,0.6,Amazon,0,329005.0751656853,329005.0751656853,2.0,2.0
0.25,0.6,DPD,0,169572.56383539882,169572.56383539882,2.0,2.0
0.25,0.6,FedEx,0,133443.4544064909,133443.4544064909,6.0,6.0
0.25,0.6,GLS,0,151008.9471905578,151008.9471905578,4.0,4.0
0.25,0.6,Hermes,0,196160.3959198856,196160.3959198856,5.0,5.0
0.25,0.6,UPS,0,163796.2433635378,163796.2433635378,6.0,6.0
0.25,0.7,DHL,3,560261.1483141807,559567.9111710626,164.0,135.0
0.25,0.7,Amazon,0,324672.24316306977,324672.24316306977,2.0,2.0
0.25,0.7,DPD,0,164685.21764146522,164685.21764146522,8.0,8.0
0.25,0.7,FedEx,0,133867.80652636732,133867.80652636732,1.0,1.0
0.25,0.7,GLS,0,146751.29692364403,146751.29692364403,2.0,2.0
0.25,0.7,Hermes,0,191863.47995555497,191863.47995555497,8.0,8.0
0.25,0.7,UPS,0,161576.41290423763,161576.41290423763,9.0,9.0
0.25,0.8,DHL,2,559836.8837919558,559028.0896020504,156.0,147.0
0.25,0.8,Amazon,0,318366.8557411189,318366.8557411189,3.0,3.0
0.25,0.8,DPD,0,160678.96703307767,160678.96703307767,6.0,6.0
0.25,0.8,FedEx,0,134199.4343723163,134199.4343723163,1.0,1.0
0.25,0.8,GLS,0,143537.71242383754,143537.71242383754,3.0,3.0
0.25,0.8,Hermes,0,187430.7770293913,187430.7770293913,2.0,2.0
0.25,0.8,UPS,0,159954.3127964037,159954.3127964037,7.0,7.0
0.25,0.9,DHL,6,558503.5932541006,557029.6970388988,174.0,112.0
0.25,0.9,Amazon,0,314243.8236467577,314243.8236467577,2.0,2.0
0.25,0.9,DPD,0,154859.01194223072,154859.01194223072,6.0,6.0
0.25,0.9,FedEx,0,131343.23061634277,131343.23061634277,2.0,2.0
0.25,0.9,GLS,0,136285.5515618848,136285.5515618848,7.0,7.0
0.25,0.9,Hermes,0,183181.2394287149,183181.2394287149,2.0,2.0
0.25,0.9,UPS,0,157783.0470567381,157783.0470567381,7.0,7.0
0.25,1.0,DHL,6,540492.9183371536,539293.5306997377,155.0,50.0
0.25,1.0,Amazon,0,295608.33469056204,295608.33469056204,3.0,3.0
0.25,1.0,DPD,0,145639.10865768607,145639.10865768607,9.0,9.0
0.25,1.0,FedEx,0,124655.28501506044,124655.28501506044,5.0,5.0
0.25,1.0,GLS,0,128370.32819273866,128370.32819273866,3.0,3.0
0.25,1.0,Hermes,0,169945.59969822923,169945.59969822923,3.0,3.0
0.25,1.0,UPS,0,151905.0088630337,151905.0088630337,4.0,4.0
0.5,0.0,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.5,0.0,Amazon,0,350810.6383067652,350810.6383067652,79.0,79.0
0.5,0.0,DPD,0,210178.8252010488,210178.8252010488,46.0,46.0
0.5,0.0,FedEx,0,167748.72604045804,167748.72604045804,31.0,31.0
0.5,0.0,GLS,0,186914.04044994732,186914.04044994732,30.0,30.0
0.5,0.0,Hermes,0,232267.79568581068,232267.79568581068,44.0,44.0
0.5,0.0,UPS,0,198052.502895174,198052.502895174,40.0,40.0
0.5,0.1,DHL,3,557651.8329267268,556257.2488866808,161.0,158.0
0.5,0.1,Amazon,0,330976.7893571787,330976.7893571787,76.0,76.0
0.5,0.1,DPD,0,185916.87538103815,185916.87538103815,24.0,24.0
0.5,0.1,FedEx,0,147484.67627282266,147484.67627282266,6.0,6.0
0.5,0.1,GLS,0,163667.33123653155,163667.33123653155,22.0,22.0
0.5,0.1,Hermes,0,208134.40296069812,208134.40296069812,42.0,42.0
0.5,0.1,UPS,0,174460.2243773977,174460.2243773977,14.0,14.0
0.5,0.2,DHL,1,558606.8336890157,557879.9349455636,148.0,145.0
0.5,0.2,Amazon,0,336059.7859640659,336059.7859640659,61.0,61.0
0.5,0.2,DPD,0,183158.91828343496,183158.91828343496,17.0,17.0
0.5,0.2,FedEx,0,146523.068527373,146523.068527373,5.0,5.0
0.5,0.2,GLS,0,162609.06593210035,162609.06593210035,14.0,14.0
0.5,0.2,Hermes,0,211503.74781399991,211503.74781399991,24.0,24.0
0.5,0.2,UPS,0,173479.4775289031,173479.4775289031,11.0,11.0
0.5,0.3,DHL,1,561547.7127467049,560979.1515624358,149.0,147.0
0.5,0.3,Amazon,0,338401.44542391854,338401.44542391854,44.0,44.0
0.5,0.3,DPD,0,180221.01582433537,180221.01582433537,13.0,13.0
0.5,0.3,FedEx,0,144261.79422802367,144261.79422802367,1.0,1.0
0.5,0.3,GLS,0,161370.81730322845,161370.81730322845,9.0,9.0
0.5,0.3,Hermes,0,206826.15416898008,206826.15416898008,26.0,26.0
0.5,0.3,UPS,0,174372.81455144458,174372.81455144458,8.0,8.0
0.5,0.4,DHL,1,562167.7346554,561590.9962170775,169.0,164.0
0.5,0.4,Amazon,0,336867.4351365901,336867.4351365901,42.0,42.0
0.5,0.4,DPD,0,178431.70204175904,178431.70204175904,10.0,10.0
0.5,0.4,FedEx,0,142304.11254836307,142304.11254836307,4.0,4.0
0.5,0.4,GLS,0,158899.74603003677,158899.74603003677,5.0,5.0
0.5,0.4,Hermes,0,203961.902444079,203961.902444079,17.0,17.0
0.5,0.4,UPS,0,169402.18225225515,169402.18225225515,9.0,9.0
0.5,0.5,DHL,2,563786.6918197668,563247.8797746195,173.0,170.0
0.5,0.5,Amazon,0,336745.82838449354,336745.82838449354,17.0,17.0
