provider,cluster_id,baseline_routes,baseline_distance_km,baseline_parcels,baseline_cost_eur,saml_routes,saml_distance_km,saml_parcels,saml_cost_eur,fixed_routes,fixed_distance_km,fixed_parcels,fixed_cost_eur,actual_saving_abs,actual_saving_pct,actual_fixed_saving_pct,routes_delta_pct,distance_delta_pct,raumtyp_8,raumtyp_8_name,raumtyp_3,main_area_share,einwohner,n_members
DPD,30449,19,1106.96,2780,5584.43,15.0,764.5799999999999,2780.0,4082.87,15.0,771.65,2780.0,4090.19,1501.5600000000004,26.888330590588478,26.757251859187065,-21.05263157894737,-30.92975355929755,3,Zentrumsnah verdichtete Mischnutzung,urban,0.6773891431704135,52274.0,3
DPD,30453,11,820.25,1619,3424.57,9.0,602.4,1619.0,2560.7200000000003,9.0,602.4,1619.0,2560.7200000000003,863.8499999999999,25.225064752655072,25.225064752655072,-18.181818181818183,-26.558975921975012,4,Städtisch mit Verdichtungsansätzen,suburban,0.3175021077016408,17864.0,1
DPD,30455,9,662.37,1318,2928.51,8.0,519.2,1318.0,2330.51,8.0,505.99,1318.0,2340.25,598.0,20.419940515825452,20.087348173644624,-11.11111111111111,-21.614807433911555,4,Städtisch mit Verdichtungsansätzen,suburban,0.9967467302434696,21665.0,1
DPD,30457,9,556.12,1335,2793.27,10.0,545.99,1335.0,2833.95,8.0,434.97,1335.0,2252.6,-40.67999999999984,-1.4563576023800004,19.35616678659779,11.11111111111111,-1.8215493059051995,4,Städtisch mit Verdichtungsansätzen,suburban,0.8041563849902899,18093.0,1
DPD,30519,14,748.52,2540,4111.02,13.0,571.98,2540.0,3423.69,12.0,542.44,2540.0,3203.8,687.3300000000004,16.719208371645003,22.068002588165474,-7.142857142857143,-23.58520814407096,3,Zentrumsnah verdichtete Mischnutzung,urban,0.454986530655141,31405.0,2
DPD,30539,11,526.61,1695,3168.55,9.0,355.27,1695.0,2349.33,9.0,355.27,1695.0,2349.33,819.2200000000003,25.854728503574197,25.854728503574197,-18.181818181818183,-32.53641214561061,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.4584993773941337,19961.0,1
DPD,30559,39,1760.03,6545,11122.07,38.0,1358.67,6545.0,9620.22,38.0,1300.3200000000002,6545.0,9433.42,1501.8500000000004,13.50333166397982,15.182875130259024,-2.5641025641025643,-22.804156747328168,4,Städtisch mit Verdichtungsansätzen,suburban,0.5490105390351068,71927.0,4
DPD,30625,16,737.53,2376,4488.04,15.0,583.27,2376.0,3759.91,14.0,547.1400000000001,2376.0,3548.7200000000003,728.1299999999999,16.223785884261286,20.92940348125239,-6.25,-20.915759358941333,4,Städtisch mit Verdichtungsansätzen,suburban,0.6299961068049671,33250.0,2
DPD,30657,11,560.92,1866,3128.32,10.0,426.38,1866.0,2559.6400000000003,10.0,425.37,1866.0,2558.31,568.6799999999998,18.178447217675934,18.220962049918175,-9.090909090909092,-23.98559509377451,8,Umland dörflich ohne gewerblichen Einfluss,rural,0.6747209741882092,16117.0,1
DPD,30823,11,903.28,1867,3555.66,11.0,785.57,1867.0,3214.74,10.0,688.52,1867.0,2828.41,340.9199999999996,9.588093349757854,20.453305434152874,0.0,-13.031396687627305,4,Städtisch mit Verdichtungsansätzen,suburban,0.4691854467936948,26279.0,1
DPD,30827,22,1912.17,3240,7367.1900000000005,18.0,1357.52,3240.0,5326.16,18.0,1363.18,3240.0,5329.950000000001,2041.0300000000002,27.704321457706403,27.652877148546455,-18.181818181818183,-29.006312200275083,7,Umland dörflich mit geringem gewerblichem Einfluss,rural,0.5079119318618089,33231.0,2
